vac_id,cate_id
pentaxim-vac-xin-5-trong-1,1
vac-xin-5-trong-1-infanrix-ipv-hib,1
vac-xin-gene-hbvax,2
heberbiovac-hb,2
engerix-b-vac-xin-phong-viem-gan-b,2
vac-xin-euvax-b,2
vac-xin-tetraxim,3
vac-xin-rotarix,4
vac-xin-rotateq,4
rotavin-m1-vac-xin-phong-benh-tieu-chay-cap-rotavirus,4
boostrix,5
vac-xin-adacel,5
vac-xin-jeev,6
imojev-vac-xin-phong-viem-nao-nhat-ban-moi,6
jevax-vac-xin-phong-viem-nao-nhat-ban-b,6
vac-xin-pneumovax-23,7
prevenar-13-vac-xin-phong-benh-viem-phoi-viem-mang-nao-viem-tai-giua-nhiem-khuan-huyet-phe-cau-khuan,7
synflorix-vac-xin-phong-viem-nao-viem-phoi-nhiem-khuan-huyet-viem-tai-giua-h-influenzae-khong-dinh-tuyp,7
avaxim-vac-xin-phong-viem-gan,8
vac-xin-havax,8
twinrix-vac-xin-phong-viem-gan-ab,9
bcg-vac-xin-phong-lao,10
vac-xin-gardasil-9,11
gardasil-vac-xin-phong-ung-thu-co-tu-cung,11
vac-xin-vat,12
vac-xin-gene-hbvax,13
heberbiovac-hb,13
engerix-b-vac-xin-phong-viem-gan-b,13
vac-xin-euvax-b,13
typhim-vi-vac-xin-phong-thuong-han,14
typhoid-vi-polysaccharide-vi-vac-xin-phong-benh-thuong-han,14
morcvax-vac-xin-phong-benh-ta,15
vac-xin-bexsero,16
menactra-vac-xin-nao-mo-cau-nhom-acy-va-w-135-polysaccharide-cong-hop-giai-doc-bach-hau,16
va-mengoc-bc-vac-xin-phong-viem-mang-nao-nao-mo-cau-b-c,16
vac-xin-quimi-hib,17
vac-xin-abhayrab,18
verorab-vac-xin-phong-dai,18
vaxigrip-tetra,19
influvac-tetra,19
vac-xin-ivacflu-s,19
gcflu-quadrivalent,19
stamaril-vac-xin-phong-benh-sot-vang,20
hexaxim-vac-xin-6-trong-1,21
infanrix-vac-xin-6-trong-1,21
vac-xin-mrvac,22
vac-xin-mvvac,22
vac-xin-uon-van-bach-hau-hap-phu-td-viet-nam,23
vac-xin-mrvac,24
vac-xin-priorix,24
mmr-ii-vac-xin-phong-3-benh-soi-quai-bi-rubella,24
vac-xin-mmr,24
huyet-thanh-uon-van-sat,25
varilrix-vac-xin-phong-benh-thuy-dau,26
varivax-vac-xin-phong-thuy-dau,26
vac-xin-varicella,26
bcg-vac-xin-phong-lao,28
heberbiovac-hb,28
engerix-b-vac-xin-phong-viem-gan-b,28
vac-xin-euvax-b,28
menactra-vac-xin-nao-mo-cau-nhom-acy-va-w-135-polysaccharide-cong-hop-giai-doc-bach-hau,29
varilrix-vac-xin-phong-benh-thuy-dau,29
heberbiovac-hb,29
vac-xin-priorix,29
vac-xin-mvvac,29
mmr-ii-vac-xin-phong-3-benh-soi-quai-bi-rubella,29
imojev-vac-xin-phong-viem-nao-nhat-ban-moi,29
avaxim-vac-xin-phong-viem-gan,29
vac-xin-havax,29
twinrix-vac-xin-phong-viem-gan-ab,29
varivax-vac-xin-phong-thuy-dau,29
vac-xin-varicella,29
jevax-vac-xin-phong-viem-nao-nhat-ban-b,29
heberbiovac-hb,30
vac-xin-priorix,30
typhim-vi-vac-xin-phong-thuong-han,30
morcvax-vac-xin-phong-benh-ta,30
vac-xin-mmr,30
typhoid-vi-polysaccharide-vi-vac-xin-phong-benh-thuong-han,30
prevenar-13-vac-xin-phong-benh-viem-phoi-viem-mang-nao-viem-tai-giua-nhiem-khuan-huyet-phe-cau-khuan,31
menactra-vac-xin-nao-mo-cau-nhom-acy-va-w-135-polysaccharide-cong-hop-giai-doc-bach-hau,31
synflorix-vac-xin-phong-viem-nao-viem-phoi-nhiem-khuan-huyet-viem-tai-giua-h-influenzae-khong-dinh-tuyp,31
vaxigrip-tetra,31
influvac-tetra,31
vac-xin-priorix,31
mmr-ii-vac-xin-phong-3-benh-soi-quai-bi-rubella,31
vac-xin-tetraxim,31
imojev-vac-xin-phong-viem-nao-nhat-ban-moi,31
twinrix-vac-xin-phong-viem-gan-ab,31
morcvax-vac-xin-phong-benh-ta,31
gcflu-quadrivalent,31
vac-xin-mmr,31
jevax-vac-xin-phong-viem-nao-nhat-ban-b,31
prevenar-13-vac-xin-phong-benh-viem-phoi-viem-mang-nao-viem-tai-giua-nhiem-khuan-huyet-phe-cau-khuan,32
menactra-vac-xin-nao-mo-cau-nhom-acy-va-w-135-polysaccharide-cong-hop-giai-doc-bach-hau,32
vac-xin-gardasil-9,32
gardasil-vac-xin-phong-ung-thu-co-tu-cung,32
synflorix-vac-xin-phong-viem-nao-viem-phoi-nhiem-khuan-huyet-viem-tai-giua-h-influenzae-khong-dinh-tuyp,32
boostrix,32
vac-xin-adacel,32
vaxigrip-tetra,32
varilrix-vac-xin-phong-benh-thuy-dau,32
influvac-tetra,32
vac-xin-priorix,32
mmr-ii-vac-xin-phong-3-benh-soi-quai-bi-rubella,32
gcflu-quadrivalent,32
varivax-vac-xin-phong-thuy-dau,32
vac-xin-varicella,32
vac-xin-mmr,32
boostrix,33
vac-xin-adacel,33
vac-xin-vat,33
varilrix-vac-xin-phong-benh-thuy-dau,33
heberbiovac-hb,33
vac-xin-priorix,33
mmr-ii-vac-xin-phong-3-benh-soi-quai-bi-rubella,33
varivax-vac-xin-phong-thuy-dau,33
vac-xin-varicella,33
engerix-b-vac-xin-phong-viem-gan-b,33
vac-xin-euvax-b,33
vac-xin-shingrix,34
prevenar-13-vac-xin-phong-benh-viem-phoi-viem-mang-nao-viem-tai-giua-nhiem-khuan-huyet-phe-cau-khuan,34
menactra-vac-xin-nao-mo-cau-nhom-acy-va-w-135-polysaccharide-cong-hop-giai-doc-bach-hau,34
boostrix,34
vac-xin-adacel,34
vaxigrip-tetra,34
varilrix-vac-xin-phong-benh-thuy-dau,34
influvac-tetra,34
vac-xin-priorix,34
vac-xin-ivacflu-s,34
mmr-ii-vac-xin-phong-3-benh-soi-quai-bi-rubella,34
varivax-vac-xin-phong-thuy-dau,34
vac-xin-varicella,34
prevenar-13-vac-xin-phong-benh-viem-phoi-viem-mang-nao-viem-tai-giua-nhiem-khuan-huyet-phe-cau-khuan,35
hexaxim-vac-xin-6-trong-1,35
synflorix-vac-xin-phong-viem-nao-viem-phoi-nhiem-khuan-huyet-viem-tai-giua-h-influenzae-khong-dinh-tuyp,35
vaxigrip-tetra,35
infanrix-vac-xin-6-trong-1,35
pentaxim-vac-xin-5-trong-1,35
heberbiovac-hb,35
vac-xin-rotarix,35
vac-xin-rotateq,35
rotavin-m1-vac-xin-phong-benh-tieu-chay-cap-rotavirus,35
va-mengoc-bc-vac-xin-phong-viem-mang-nao-nao-mo-cau-b-c,35
gcflu-quadrivalent,35
vac-xin-5-trong-1-infanrix-ipv-hib,35
engerix-b-vac-xin-phong-viem-gan-b,35
vac-xin-euvax-b,35
