name,description,injection,patient,effects,id,image,country,disease,price
Vắc xin Qdenga,"<p style=""text-align: justify;""><strong>Vắc xin Qdenga</strong> là chế phẩm sinh học đặc biệt có khả năng phòng <a href=""https://vnvc.vn/sot-xuat-huyet/"" target=""_blank"" rel=""noopener""><strong>bệnh sốt xuất huyết</strong></a> do virus Dengue gây ra, có khả năng bảo vệ chống lại cả 4 nhóm huyết thanh của virus dengue, bao gồm DEN-1, DEN-2, DEN-3 và DEN-4, được chỉ định tiêm cho người từ 4 tuổi trở lên với hiệu lực bảo vệ hơn 80% nguy cơ mắc bệnh do 4 tuýp virus Dengue và trên 90% nguy cơ nhập viện, mắc bệnh nặng và biến chứng nguy hiểm do bệnh sốt xuất huyết gây ra.</p>","<ul>
<li style=""text-align: justify;"">Sau khi hoàn nguyên hoàn toàn vắc xin đông khô với chất pha loãng (dung môi), Qdenga nên được tiêm dưới da, tốt nhất là ở cánh tay trên ở vùng cơ delta.</li>
<li style=""text-align: justify;"">Qdenga không được tiêm vào mạch, không được tiêm trong da hoặc tiêm bắp.</li>
<li style=""text-align: justify;"">Không nên trộn vắc xin trong cùng một ống tiêm với bất kỳ loại vắc xin hoặc sản phẩm thuốc tiêm nào khác.</li>
</ul>","<div class=""content_item_list""><p style=""text-align: justify;""><strong>Vắc xin Qdenga</strong> được chỉ định phòng ngừa bệnh sốt xuất huyết cho bất kỳ loại huyết thanh virus sốt xuất huyết nào gây ra ở những người từ 4 tuổi trở lên.</p>
</div>","<div class=""content_item_list""><p style=""text-align: justify;"">Giống như tất cả các loại vắc xin/thuốc khi được đưa vào cơ thể để chống lại virus/vi khuẩn, người được tiêm chủng có khả năng gặp phải các phản ứng sau tiêm tại chỗ hoặc toàn thân, thường nhẹ không đáng lo và sẽ nhanh khỏi như:</p>
<ul>
<li style=""text-align: justify;"">Triệu chứng tại chỗ tiêm: đau tại chỗ tiêm, đau cơ, ban đỏ</li>
<li style=""text-align: justify;"">Triệu chứng toàn thân: nhức đầu, khó chịu, suy nhược, sốt</li>
</ul>
<p style=""text-align: justify;"">Những tác dụng phụ này thường nhẹ, kéo dài từ 1 – 3 ngày và và ít gặp hơn sau mũi tiêm thứ hai.</p>
</div>",vac-xin-qdenga,https://vnvc.vn/wp-content/uploads/2024/09/vaccine-qdenga-1.jpg,Takeda (Nhật Bản),Sốt xuất huyết,1390000
Vắc xin Shingrix,"<p style=""text-align: justify;""><strong>Vắc xin Shingrix</strong> là sinh phẩm y tế được chỉ định để phòng bệnh <strong><a href=""https://vnvc.vn/benh-zona-than-kinh/"" target=""_blank"" rel=""noopener"">zona thần kinh</a></strong> (Herpes Zoster) hay còn gọi là <a href=""https://vnvc.vn/benh-gioi-leo/"" target=""_blank"" rel=""noopener""><strong>giời leo</strong></a> và các biến chứng liên quan đến Herpes Zoster, như đau dây thần kinh sau khi mắc zona (PHN). Vắc xin Shingrix được chỉ định sử dụng để tiêm ngừa cho người lớn từ 50 tuổi trở lên và người từ 18 tuổi trở lên có nguy cơ mắc zona thần kinh.</p>","<p style=""text-align: justify;"">Vắc xin Shingrix được chỉ định tiêm bắp, tốt nhất tại vùng cơ delta của cánh tay.</p>","<div class=""content_item_list""><ul>
<li style=""text-align: justify;""><span style=""font-weight: 400;"">Người lớn từ 50 tuổi trở lên;</span></li>
<li style=""text-align: justify;""><span style=""font-weight: 400;"">Người lớn từ 18 tuổi trở lên đang hoặc sẽ có hệ miễn dịch yếu do bệnh tật hoặc do điều trị… là những người có nguy cơ cao mắc Zona thần kinh.</span></li>
</ul>
</div>","<div class=""content_item_list""><p style=""text-align: justify;"">Giống như tất cả các loại vắc xin/thuốc khi được đưa vào cơ thể để chống lại virus/vi khuẩn, người được tiêm chủng có khả năng gặp phải các phản ứng sau tiêm tại chỗ hoặc toàn thân, thường nhẹ không đáng lo và sẽ nhanh khỏi như:</p>
<ul>
<li style=""text-align: justify;"">Phản ứng toàn thân: đau đầu, các triệu chứng tiêu hóa (buồn nôn, nôn, tiêu chảy và/hoặc đau bụng), đau cơ, khó chịu, mệt mỏi, ớn lạnh, sốt.</li>
<li style=""text-align: justify;"">Phản ứng tại chỗ: đau, sưng, đỏ vị trí tiêm.</li>
</ul>
<p style=""text-align: justify;"">Các phản ứng quá mẫn là hiếm gặp như phát ban, mề đay, phù mạch</p>
</div>",vac-xin-shingrix,https://vnvc.vn/wp-content/uploads/2023/11/vacxin-shingrix.jpg,GSK (Bỉ),Zona thần kinh,3890000
Vắc xin Pneumovax 23,"<p style=""text-align: justify;""><strong>Pneumovax 23</strong>, hay còn được biết đến với tên gọi vắc xin Polysaccharide phế cầu 23-valent, là vắc xin được chỉ định để ngăn ngừa các bệnh nhiễm trùng do vi khuẩn phế cầu (Streptococcus pneumoniae) gây ra như viêm phổi, viêm màng não, nhiễm khuẩn huyết (nhiễm trùng máu)…</p>","<ul>
<li style=""text-align: justify;"">Pneumovax 23 được tiêm dưới dạng dung dịch trong lọ đơn liều 0,5ml, qua đường tiêm bắp hoặc tiêm dưới da, thường là vào bắp tay (cơ delta) ở người lớn.</li>
<li style=""text-align: justify;"">Không được tiêm vào mạch máu và phải thận trọng để đảm bảo kim không đi vào mạch máu.</li>
<li style=""text-align: justify;"">Không được tiêm vắc xin trong da vì có liên quan đến tăng các phản ứng tại chỗ.</li>
</ul>","<div class=""content_item_list""><p style=""text-align: justify;""><strong>Vắc xin Pneumovax 23</strong> được khuyến cáo sử dụng cho trẻ em từ 2 tuổi trở lên, thanh thiếu niên và người lớn</p>
</div>","<div class=""content_item_list""><p style=""text-align: justify;"">Giống như tất cả các loại vắc xin/thuốc khi được đưa vào cơ thể để chống lại virus/vi khuẩn, người được tiêm chủng có khả năng gặp phải các phản ứng sau tiêm tại chỗ hoặc toàn thân, thường nhẹ không đáng lo và sẽ nhanh khỏi như:</p>
<ul>
<li style=""text-align: justify;"">Triệu chứng toàn thân: sốt, mệt mỏi, đau đầu…</li>
<li style=""text-align: justify;"">Triệu chứng tại chỗ: ban đỏ, chai cứng, đau sưng nhức tại vết tiêm</li>
</ul>
</div>",vac-xin-pneumovax-23,https://vnvc.vn/wp-content/uploads/2024/08/vaccine-pneumovax-23.jpg,MSD (Mỹ),"Viêm phổi, viêm màng não, nhiễm khuẩn huyết (nhiễm trùng máu)… do phế cầu khuẩn.",1450000
Vắc xin Bexsero,"<p style=""text-align: justify;"">Vắc xin Bexsero được chỉ định để chủng ngừa cho trẻ và người lớn từ 2 tháng tuổi đến 50 tuổi (chưa đến sinh nhật 51 tuổi) chống lại <a href=""https://vnvc.vn/viem-mang-nao-do-nao-mo-cau-nhom-b/"" target=""_blank"" rel=""noopener""><strong>bệnh não mô cầu xâm lấn do Neisseria meningitidis nhóm B</strong></a> gây ra với hiệu quả lên đến 95%.</p>","<ul style=""text-align: justify;"">
<li aria-level=""1"">Vắc xin Bexsero được dùng dưới dạng tiêm bắp sâu, nên ưu tiên tiêm ở mặt trước bên cơ đùi của nhũ nhi hoặc vùng cơ delta cánh tay trên ở những đối tượng lớn hơn.</li>
<li aria-level=""1"">Nếu phải tiêm đồng thời nhiều loại vắc xin khác thì phải tiêm ở nhiều vị trí riêng biệt.</li>
</ul>","<div class=""content_item_list""><p style=""text-align: justify;"">Trẻ em và người lớn từ 2 tháng tuổi đến 50 tuổi (chưa đến sinh nhật 51 tuổi).</p>
</div>",,vac-xin-bexsero,https://vnvc.vn/wp-content/uploads/2024/02/bexsero.jpg,GSK (Ý),Viêm màng não do Neisseria meningitidis nhóm B gây ra.,1750000
Vắc xin Prevenar 13,"<p style=""text-align: justify;""><span style=""font-weight: 400;""><strong>Vắc xin Prevenar 13</strong> là <a href=""https://vnvc.vn/vac-xin-phe-cau/"" target=""_blank"" rel=""noopener"">vắc xin phế cầu</a>, phòng các bệnh phế cầu khuẩn xâm lấn gây nguy hiểm cho trẻ em và người lớn như viêm phổi, viêm màng não, nhiễm khuẩn huyết (nhiễm trùng máu), viêm tai giữa cấp tính,… do 13 chủng phế cầu khuẩn Streptococcus Pneumoniae gây ra (type 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F và 23F).&nbsp;</span></p>","<p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Prevenar-13 được chỉ định tiêm bắp (vùng <a href=""https://www.kenhub.com/en/library/anatomy/the-deltoid-muscle"" target=""_blank"" rel=""nofollow noreferrer noopener"">cơ delta</a>) với liều 0.5ml</span></p>","<div class=""content_item_list""><p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Prevenar-13 (Bỉ) được chỉ định cho trẻ từ 6 tuần tuổi trở lên và người lớn.</span></p>
<p style=""text-align: justify;""><b><i>* Lưu ý:&nbsp;</i></b><i> </i><em><strong>Khách hàng đã tiêm Pneumo23</strong></em></p>
<ul>
<li>Đối với Khách hàng có sức khỏe bình thường: khoảng cách tối thiểu giữa Prevenar-13 và Pneumo23 là 1 năm (không tiêm đồng thời, nên hoàn thành lịch tiêm vắc xin Prevenar 13 trước).</li>
<li>Đối với Khách hàng có bệnh lý hoặc có tình trạng suy giảm miễn dịch làm tăng nguy cơ mắc bệnh phế cầu xâm lấn cần tham khảo hướng dẫn của bác sĩ khám sàng lọc.</li>
</ul>
</div>","<div class=""content_item_list""><p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Prevenar-13 có độ an toàn cao. Tuy nhiên, người được tiêm có thể gặp một số phản ứng nhẹ, kéo dài từ 1- 2 ngày:</span></p>
<ul>
<li style=""font-weight: 400; text-align: justify;"" aria-level=""1"">Tại chỗ tiêm: ban đỏ, chai cứng, sưng đau, tăng nhạy cảm tại chỗ tiêm.</li>
<li style=""font-weight: 400; text-align: justify;"" aria-level=""1"">Toàn thân: sốt, đau đầu, buồn ngủ, giảm cảm giác thèm ăn, nôn mửa, tiêu chảy.</li>
</ul>
</div>",prevenar-13-vac-xin-phong-benh-viem-phoi-viem-mang-nao-viem-tai-giua-nhiem-khuan-huyet-phe-cau-khuan,https://vnvc.vn/wp-content/uploads/2019/11/prevenar-13.jpg,Pfizer (Mỹ),"Viêm phổi, viêm màng não, viêm tai giữa cấp tính, nhiễm khuẩn huyết… do phế cầu khuẩn",1190000
Vắc xin Menactra,"<p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Menactra được chỉ định để tạo miễn dịch chủ động cơ bản và nhắc lại phòng bệnh xâm lấn do N.meningitidis (vi khuẩn não mô cầu) các nhóm huyết thanh A, C, Y, W-135 gây ra, như: viêm màng não, nhiễm trùng huyết, viêm phổi…</span></p>","<p style=""text-align: justify;""><span style=""font-weight: 400;"">Menactra được chỉ định tiêm bắp, tốt nhất là ở mặt trước – ngoài của đùi hoặc vùng cơ delta tùy theo tuổi và khối cơ của đối tượng. Không được tiêm tĩnh mạch hoặc tiêm trong da &amp; dưới da đối với vắc xin Menactra.</span></p>","<div class=""content_item_list""><p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Menactra (Mỹ) được chỉ định tiêm cho trẻ từ 9 tháng đến 55 tuổi (trước sinh nhật lần thứ 56) phòng bệnh <a href=""https://vnvc.vn/viem-mang-nao-mo-cau-acyw/"" target=""_blank"" rel=""noopener"">viêm màng não mô cầu ACYW</a> do các nhóm huyết thanh A,C,Y, W-135 gây ra.</span></p>
<p>⇒ Tìm hiểu thêm: <a href=""https://vnvc.vn/viem-nao-mo-cau-ac-tiem-cho-tre-may-tuoi/"" target=""_blank"" rel=""noopener""><strong>Viêm não mô cầu AC tiêm cho trẻ mấy tuổi</strong></a>? Tối thiểu mấy tháng tuổi?</p>
</div>","<div class=""content_item_list""><p style=""text-align: justify;""><span style=""font-weight: 400;"">Sau khi tiêm vắc xin phòng bệnh Menactra, trẻ thường gặp những phản ứng nhẹ, không kéo dài và không cần điều trị đặc biệt. Đó là sự đáp ứng miễn dịch của cơ thể. Cụ thể như sau:</span></p>
<ul style=""text-align: justify;"">
<li aria-level=""1"">Tại chỗ tiêm: đau, sưng, đỏ tại vị trí tiêm</li>
<li aria-level=""1"">Toàn thân: ngủ gà, cáu kỉnh, nhức đầu, mệt mỏi, tiêu chảy, chán ăn. Các triệu chứng thường nhẹ và thoáng qua.</li>
</ul>
<p style=""text-align: justify;""><span style=""font-weight: 400;"">Các phản ứng sau tiêm có thể gặp trong vòng 7 ngày sau tiêm chủng</span></p>
</div>",menactra-vac-xin-nao-mo-cau-nhom-acy-va-w-135-polysaccharide-cong-hop-giai-doc-bach-hau,https://vnvc.vn/wp-content/uploads/2020/02/vacxin-menactra-1.jpg,Sanofi (Mỹ),"viêm màng não, nhiễm khuẩn huyết và viêm phổi do não mô cầu khuẩn tuýp A,C,Y và W-135",1370000
Vắc xin Gardasil 9,"<p style=""text-align: justify;""><strong>Vắc xin thế hệ mới Gardasil 9</strong> được xem là vắc xin bình đẳng giới vì mở rộng cả đối tượng và phạm vi phòng bệnh rộng hơn ở nam và nữ giới, bảo vệ khỏi 9 tuýp virus HPV phổ biến 6, 11, 16, 18, 31, 33, 45, 52 và 58 gây bệnh ung thư cổ tử cung, ung thư âm hộ, ung thư âm đạo, ung thư hậu môn, ung thư hầu họng, mụn cóc sinh dục, các tổn thương tiền ung thư hoặc loạn sản…, với hiệu quả bảo vệ lên đến trên 90%.</p>","<ul>
<li style=""text-align: justify;"">Vắc xin Gardasil 9 được chỉ định tiêm bắp. Vị trí phù hợp là vùng cơ delta của phần trên cánh tay hoặc ở vùng trước phía trên đùi.</li>
<li style=""text-align: justify;"">Không được tiêm Gardasil 9 vào mạch máu, tiêm dưới da hoặc tiêm trong da.</li>
<li style=""text-align: justify;"">Không được trộn lẫn vắc xin trong cùng một ống tiêm với bất kỳ loại vắc xin và dung dịch nào khác.</li>
</ul>","<div class=""content_item_list""><p>Vắc xin Gardasil 9 được chỉ định tiêm chủng cho cả nam giới và nữ giới, từ 9 đến 45 tuổi.</p>
</div>","<div class=""content_item_list""><p style=""text-align: justify;""><strong>Vắc xin Gardasil 9</strong> có độ an toàn cao. Tuy nhiên, người được tiêm có thể gặp một số phản ứng nhẹ, kéo dài từ 1-2 ngày:</p>
<ul>
<li style=""text-align: justify;"">Phản ứng tại chỗ tiêm: Nổi ban đỏ, chai cứng, sưng đau, ngứa, tăng nhạy cảm tại chỗ tiêm.</li>
<li style=""text-align: justify;"">Các phản ứng toàn thân khác: Sốt nhẹ, đau đầu, buồn ngủ, giảm cảm giác thèm ăn, buồn nôn, nôn mửa, tiêu chảy.</li>
</ul>
</div>",vac-xin-gardasil-9,https://vnvc.vn/wp-content/uploads/2022/05/vacxin-gardasil-9.jpg,MSD (Mỹ),Ung thư cổ tử cung và sùi mào gà,2950000
Vắc xin Hexaxim,"<p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Hexaxim là vắc xin kết hợp phòng được 6 loại bệnh trong 1 mũi tiêm, bao gồm: Ho gà, bạch hầu, uốn ván, bại liệt, viêm gan B và các bệnh viêm phổi, viêm màng não mủ do H.Influenzae týp B (Hib). Tích hợp trong duy nhất trong 1 vắc xin, 6 trong 1 Hexaxim giúp giảm số mũi tiêm, đồng nghĩa với việc hạn chế đau đớn cho bé khi phải tiêm quá nhiều.&nbsp;</span></p>","<ul style=""text-align: justify;"">
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Hexaxim được chỉ định tiêm bắp. Vị trí tiêm là mặt trước – ngoài của phần trên đùi và vùng cơ delta ở trẻ 15 tháng tuổi trở lên.</span></li>
</ul>","<div class=""content_item_list""><p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Hexaxim được chỉ định tiêm cho trẻ từ 6 tuần tuổi đến 2 tuổi phòng 6 bệnh: Bạch hầu, Ho gà, Uốn ván, Bại liệt, Viêm gan B và các bệnh do Hib. </span></p>
</div>","<div class=""content_item_list""><p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Hexaxim có độ an toàn cao. Tuy nhiên, sau khi tiêm vắc xin 6 trong 1 Infanrix Hexa (Bỉ), trẻ có thể gặp những phản ứng nhẹ, không kéo dài và không cần điều trị đặc biệt, vì đó là đáp ứng miễn dịch của cơ thể. Cụ thể như:</span></p>
<ul style=""text-align: justify;"">
<li style=""font-weight: 400;"" aria-level=""1"">Tại chỗ tiêm: sưng đỏ, đau từ 1 – 3 ngày. Có thể nổi cục cứng, sau khoảng 1-3 tuần sẽ tự khỏi</li>
<li style=""font-weight: 400;"" aria-level=""1"">Toàn thân: Trẻ có thể sốt, quấy khóc, nôn, tiêu chảy, bú kém.</li>
</ul>
<p style=""text-align: justify;""><span style=""font-weight: 400;"">Sau khi tiêm các vắc xin chứa thành phần Haemophilus influenzae tuýp b, có thể phản ứng sưng phù chi dưới. Những phản ứng này khởi phát trong 24-72 giờ sau tiêm và tự khỏi trong 3-5 ngày.</span></p>
</div>",hexaxim-vac-xin-6-trong-1,https://vnvc.vn/wp-content/uploads/2018/06/vacxin-hexaxim.jpg,Sanofi (Pháp),"Ho gà, bạch hầu, uốn ván, viêm gan B, bại liệt và các bệnh do Hib",996000
Vắc xin BCG,"<p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin BCG phòng ngừa hiệu quả các hình thái lao nguy hiểm, trong đó có lao viêm màng não với độ bảo vệ lên tới 70%. Vắc xin được khuyến cáo cho trẻ sơ sinh và trẻ nhỏ, chỉ cần tiêm 1 liều duy nhất có thể bảo vệ trọn đời, không cần tiêm nhắc lại.</span></p>","<ul style=""text-align: justify;"">
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Tiêm trong da chính xác, ở mặt ngoài phía trên cánh tay hoặc vai trái.</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Nhân viên y tế cần sử dụng bơm kim tiêm riêng để tiêm vắc xin BCG.</span></li>
</ul>","<div class=""content_item_list""><p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Lao (BCG) được chỉ định tiêm cho trẻ có cân nặng từ 2.000 gram trở lên và tiêm càng sớm càng tốt trong 30 ngày sau khi sinh. </span></p>
</div>","<div class=""content_item_list""><p style=""text-align: justify;""><b><i>Sau khi tiêm Lao thì bé có sốt không?</i></b></p>
<p style=""text-align: justify;""><span style=""font-weight: 400;"">Sau khi tiêm vắc xin Lao, trẻ hay gặp những phản ứng nhẹ, không kéo dài và không cần điều trị đặc biệt. Đó là sự đáp ứng miễn dịch của cơ thể. Cụ thể như sau:</span></p>
<ul>
<li style=""font-weight: 400; text-align: justify;"" aria-level=""1""><span style=""font-weight: 400;"">Tại chỗ tiêm: đau, sưng, nóng.</span></li>
<li style=""font-weight: 400; text-align: justify;"" aria-level=""1""><span style=""font-weight: 400;"">Toàn thân: Trẻ sốt nhẹ, quấy khóc, bú kém, thường hết sau một vài ngày.</span></li>
<li style=""font-weight: 400; text-align: justify;"" aria-level=""1""><span style=""font-weight: 400;"">Thông thường sau khi tiêm BCG, trẻ có thể xuất hiện nốt nhỏ tại chỗ tiêm và biến mất sau 30 phút. Khoảng 2 tuần xuất hiện một vết loét đỏ có kích thước nhỏ, sau 2 tuần vết loét tự lành và để lại sẹo khoảng 5mm, điều này chứng tỏ trẻ đã có miễn dịch.</span></li>
<li style=""font-weight: 400; text-align: justify;"" aria-level=""1""><span style=""font-weight: 400;"">Nếu trong thời gian đó xuất hiện hạch cổ, hạch nách, hạch dưới xương đòn trái, nốt mủ quá to tại chỗ tiêm (đường kính trên 1cm) cần đến cơ sở y tế khám lại ngay.</span></li>
</ul>
</div>",bcg-vac-xin-phong-lao,https://vnvc.vn/wp-content/uploads/2017/04/vac-xin-bcg.jpg,IVAC (Việt Nam),Lao,155000
Vắc xin Gardasil 4,"<p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Gardasil (Mỹ) phòng bệnh ung thư cổ tử cung, âm hộ, âm đạo, các tổn thương tiền ung thư và loạn sản, mụn cóc sinh dục, các bệnh lý do nhiễm virus HPV, được chỉ định dành cho trẻ em và phụ nữ trong độ tuổi từ 9-26 tuổi.</span></p>","<ul style=""text-align: justify;"">
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Tiêm bắp với liều 0.5ml vào vùng cơ Delta vào phần trên cánh tay hoặc phần trước bên của phía trên đùi.</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Không được tiêm tĩnh mạch. Chưa có nghiên cứu về đường tiêm trong da hoặc dưới da nên không có khuyến cáo tiêm theo hai đường tiêm này</span></li>
</ul>","<div class=""content_item_list""><p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Gardasil (Mỹ) phòng bệnh ung thư cổ tử cung, âm hộ, âm đạo, các tổn thương tiền ung thư và loạn sản, mụn cóc sinh dục và bệnh lý do nhiễm virus HPV, được chỉ định dành cho trẻ em gái và phụ nữ trong độ tuổi từ 9-26 tuổi.</span></p>
</div>","<div class=""content_item_list""><p style=""text-align: justify;""><span style=""font-weight: 400;"">Sau khi tiêm vắc xin phòng ung thư cổ tử cung do virus HPV, có thể có những phản ứng nhẹ, không kéo dài và không cần điều trị đặc biệt. Đó là sự đáp ứng miễn dịch của cơ thể. Cụ thể như sau:</span></p>
<ul>
<li style=""font-weight: 400; text-align: justify;"" aria-level=""1"">Tại chỗ tiêm: có thể ban đỏ, sưng, đau, ngứa</li>
</ul>
</div>",gardasil-vac-xin-phong-ung-thu-co-tu-cung,https://vnvc.vn/wp-content/uploads/2017/04/vac-xin-gardasil.jpg,,,
Vắc xin Synflorix,"<p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Synflorix phòng tránh 10 chủng vi khuẩn phế cầu (</span><span style=""font-weight: 400;"">Streptococcus pneumoniae) </span><span style=""font-weight: 400;"">gây các bệnh như: Hội chứng nhiễm trùng, viêm màng não, viêm phổi, nhiễm khuẩn huyết và viêm tai giữa cấp,…</span></p>","<p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Synflorix tiêm bắp ở mặt trước – bên đùi của trẻ nhỏ và tiêm ở cơ delta cánh tay của trẻ lớn. Không được tiêm tĩnh mạch hoặc tiêm trong da đối với vắc xin Synflorix.</span></p>","<div class=""content_item_list""><p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Synflorix (Bỉ) phòng bệnh do phế cầu như viêm phổi, viêm màng não, viêm tai giữa, nhiễm khuẩn huyết được chỉ định cho trẻ từ 6 tuần tuổi trở lên và trước sinh nhật lần thứ 6.</span></p>
</div>","<div class=""content_item_list""><p style=""text-align: justify;""><b>Sau khi tiêm Synflorix (Bỉ) người tiêm hay gặp phản ứng gì?</b></p>
<p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Synflorix có độ an toàn cao. Sau khi tiêm vắc xin phòng bệnh do phế cầu, trẻ hay gặp những phản ứng nhẹ, không kéo dài và không cần điều trị đặc biệt. Đó là sự đáp ứng miễn dịch của cơ thể. Cụ thể như:</span></p>
<ul>
<li style=""font-weight: 400; text-align: justify;"" aria-level=""1""><span style=""font-weight: 400;"">Tại chỗ tiêm: sưng, đau, đỏ.</span></li>
<li style=""font-weight: 400; text-align: justify;"" aria-level=""1""><span style=""font-weight: 400;"">Toàn thân: trẻ có thể sốt trên 38 độ C, ăn uống kém, bị kích thích, quấy khóc.</span></li>
</ul>
</div>",synflorix-vac-xin-phong-viem-nao-viem-phoi-nhiem-khuan-huyet-viem-tai-giua-h-influenzae-khong-dinh-tuyp,https://vnvc.vn/wp-content/uploads/2017/04/Synflorix-1.jpg,GSK (Bỉ),Bệnh do phế cầu khuẩn,1024000
