name,description,injection,patient,effects,id,image,country,disease,price
Vắc xin Boostrix,"<p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Boostrix (Bỉ) tạo đáp ứng kháng thể chống 3 bệnh ho gà – bạch hầu – uốn ván.</span></p>","<p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Boostrix được chỉ định tiêm bắp với liều 0.5ml. Không được tiêm dưới da hoặc tĩnh mạch. Ở trẻ lớn và người lớn, thường tiêm vào cơ delta còn trẻ nhỏ thường vào mặt trước – bên đùi.</span></p>","<div class=""content_item_list""><p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Boostrix phòng ho gà – bạch hầu – uốn ván được chỉ định cho trẻ từ 4 tuổi trở lên và người lớn.</span></p>
</div>","<div class=""content_item_list""><p style=""text-align: justify;""><b><i>Sau tiêm vắc xin 3 trong 1 Boostrix có biểu hiện sốt không?</i></b></p>
<p style=""text-align: justify;""><span style=""font-weight: 400;"">Sau khi tiêm vắc xin Boostrix, người tiêm hay gặp những phản ứng nhẹ, không kéo dài và không cần điều trị đặc biệt. Đó là sự đáp ứng miễn dịch của cơ thể. Cụ thể như sau:</span></p>
<ul>
<li style=""font-weight: 400; text-align: justify;"" aria-level=""1""><span style=""font-weight: 400;"">Trẻ em 4-9 tuổi: Chán ăn, ngủ gà gật, nhạy chỗ tiêm (đau, nổi ban đỏ hoặc sưng nhẹ – những triệu chứng này thường biến mất sau 72 giờ) và cáu kỉnh, nôn, tiêu chảy, rối loạn tiêu hóa; sốt ≥37.5<sup>o</sup>C.</span></li>
<li style=""font-weight: 400; text-align: justify;"" aria-level=""1""><span style=""font-weight: 400;"">Người lớn, thanh thiếu niên và trẻ em ≥10 tuổi: Đau đầu, nhạy chỗ tiêm (đau, nổi ban đỏ hoặc sưng nhẹ – những triệu chứng này thường biến mất sau 72 giờ), mệt mỏi, khó chịu chóng mặt; buồn nôn, rối loạn tiêu hóa; sốt ≥37.5°C.</span></li>
</ul>
</div>",boostrix,https://vnvc.vn/wp-content/uploads/2020/02/vac-xin-boostrix.jpg,GSK (Bỉ),"Bạch hầu, ho gà, uốn ván",795000
Vắc xin Adacel,"<p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Adacel tạo miễn dịch </span><span style=""font-weight: 400;"">chủ động nhắc lại nhằm phòng bệnh ho gà – bạch hầu – uốn ván.</span></p>","<p style=""text-align: justify;""><span style=""font-weight: 400;"">Tiêm bắp.&nbsp;</span></p>","<div class=""content_item_list""><p><span style=""font-weight: 400;"">Vắc xin Adacel được chỉ định cho trẻ từ 4 tuổi trở lên và người lớn đến 64 tuổi.</span></p>
</div>","<div class=""content_item_list""><p><strong><i>Sau tiêm vắc xin 3 trong 1 Adacel có biểu hiện sốt không?</i></strong></p>
<p><span style=""font-weight: 400;"">Sau khi tiêm 3 trong 1, người tiêm hay gặp những phản ứng nhẹ, không kéo dài và không cần điều trị đặc biệt. Đó là sự đáp ứng miễn dịch của cơ thể, cụ thể như sau:</span></p>
<ul>
<li>Tại chỗ tiêm: đau, sưng, đỏ</li>
<li>Toàn thân: sốt, mệt mỏi, đau đầu, rối loạn tiêu hóa</li>
</ul>
</div>",vac-xin-adacel,https://vnvc.vn/wp-content/uploads/2021/02/Adacel.jpg,Sanofi (Canada),"Bạch hầu, ho gà, uốn ván",775000
"Vắc xin Uốn ván, bạch hầu hấp phụ","<p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin uốn ván – bạch hầu hấp phụ (Td) được chỉ định cho trẻ em lứa tuổi lớn (từ 7 tuổi trở lên) và người lớn nhằm gây miễn dịch, phòng các bệnh uốn ván và bạch hầu.</span></p>","<ul style=""text-align: justify;"">
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Vắc xin uốn ván – bạch hầu hấp phụ (Td) được chỉ định tiêm bắp sâu. Không được tiêm dưới da hoặc tĩnh mạch.</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Lắc tan đều trước khi dùng.</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Liều tiêm 0,5 ml.</span></li>
</ul>","<div class=""content_item_list""><ul>
<li style=""font-weight: 400; text-align: justify;"" aria-level=""1""><span style=""font-weight: 400;"">Được chỉ định chủng ngừa cho người từ 7 tuổi trở lên tạo đáp ứng kháng thể chống 2 bệnh bạch hầu và uốn ván.</span></li>
<li style=""font-weight: 400; text-align: justify;"" aria-level=""1""><span style=""font-weight: 400;"">Không chống chỉ định cho phụ nữ có thai và đang cho con bú. Cân nhắc sử dụng theo chỉ định của bác sĩ.</span></li>
</ul>
</div>","<div class=""content_item_list""><p style=""text-align: justify;""><span style=""font-weight: 400;"">Sau khi tiêm vắc xin uốn ván – bạch hầu hấp phụ (Td) có thể gặp những phản ứng nhẹ, không kéo dài và không cần điều trị đặc biệt. Đó là sự đáp ứng miễn dịch của cơ thể, cụ thể như sau:</span></p>
<ul>
<li style=""text-align: justify;""><span style=""font-weight: 400;""> Tại chỗ tiêm: đau, sưng, quầng đỏ.</span></li>
<li style=""text-align: justify;""><span style=""font-weight: 400;""> Toàn thân: sốt nhẹ, mệt mỏi, khó chịu, đau đầu.</span></li>
</ul>
</div>",vac-xin-uon-van-bach-hau-hap-phu-td-viet-nam,https://vnvc.vn/wp-content/uploads/2020/07/vac-xin-uon-van-bach-hau-hap-phu-td.jpg,IVAC (Việt Nam),Uốn ván - Bạch hầu,205000
Vắc xin uốn ván hấp phụ,"<p><span style=""font-weight: 400;"">Vắc xin uốn ván hấp phụ (TT) giúp tạo miễn dịch chủ động phòng bệnh uốn ván cho người lớn và trẻ em.&nbsp;</span></p>","<ul>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Vắc xin uốn ván hấp phụ (TT) được chỉ định tiêm bắp sâu, liều tiêm 0,5ml.</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Không tiêm tĩnh mạch trong bất cứ trường hợp nào.</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Lắc tan đều trước khi tiêm.</span></li>
</ul>","<div class=""content_item_list""><p><span style=""font-weight: 400;"">Chỉ định phòng bệnh Uốn ván cho người lớn và trẻ em. Đặc biệt là các đối tượng có nguy cơ cao như:</span></p>
<ul>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Phụ nữ có thai.</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Công nhân vệ sinh môi trường, cống rãnh, nước thải.</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Người thường xuyên làm việc tại chuồng trại chăn nuôi gia súc, gia cầm.</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Người làm vườn, người làm việc ở các trang trại, nông trường.</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Công nhân xây dựng các công trình.</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Bộ đội và thanh niên xung phong.</span></li>
</ul>
</div>","<div class=""content_item_list""><p><span style=""font-weight: 400;"">Sau khi tiêm vắc xin phòng uốn ván hấp phụ (TT), người tiêm hay gặp những phản ứng nhẹ, không kéo dài và không cần điều trị đặc biệt. Đó là sự đáp ứng miễn dịch của cơ thể, cụ thể như sau:</span></p>
<ul>
<li><span style=""font-weight: 400;""> Tại chỗ tiêm: đau, quầng đỏ, nốt cứng hay sưng xuất hiện trong vòng 48 giờ sau khi tiêm và kéo dài trong 1-2 ngày. Tuy nhiên các triệu chứng này thường nhẹ và tự mất đi.</span></li>
<li><span style=""font-weight: 400;""> Toàn thân: sốt, đau đầu, đổ mồ hôi, ớn lạnh, đau cơ, đau khớp.</span></li>
</ul>
</div>",vac-xin-vat,https://vnvc.vn/wp-content/uploads/2021/02/vac-xin-uon-van-hap-phu-tt.jpg,IVAC (Việt Nam),Uốn ván - Bạch hầu,205000
Vắc xin Sởi – Rubella MRVAC,"<p style=""text-align: justify;""><strong>Vắc xin MRVAC</strong> là chế phẩm sinh học có chứa kháng nguyên của virus sởi và rubella đã được giảm độc lực, không còn khả năng gây bệnh nhưng vẫn đảm bảo khả năng kích thích hệ thống miễn dịch sản sinh kháng thể đặc hiệu, chủ động chống lại sự tấn công và xâm nhập của virus sởi và rubella. Nhờ đó, bảo vệ người được tiêm khỏi nguy cơ mắc bệnh sởi và rubella.</p>","<ul style=""text-align: justify;"">
<li>MRVAC được chỉ định tiêm dưới da;</li>
<li>Không được tiêm tĩnh mạch</li>
</ul>","<div class=""content_item_list""><p>Vắc xin MRVAC được khuyến cáo chủng ngừa cho trẻ em từ 12 tháng tuổi trở lên, thanh thiếu niên và người lớn</p>
</div>","<div class=""content_item_list""><p style=""text-align: justify;"">Tác dụng không mong muốn thường gặp nhất có thể là:</p>
<ul style=""text-align: justify;"">
<li aria-level=""1"">Phản ứng tại chỗ: sưng, đau, ban đỏ tại chỗ tiêm</li>
<li aria-level=""1"">Phản ứng toàn thân: sốt nhẹ, ho, sổ mũi hoặc phát ban nhẹ</li>
</ul>
<p style=""text-align: justify;"">Các phản ứng thông thường này diễn biến ở mức độ nhẹ, nhanh chóng thuyên giảm và sẽ hết sau khi tiêm 1 – 3 ngày mà không cần điều trị.</p>
</div>",vac-xin-mrvac,https://vnvc.vn/wp-content/uploads/2024/09/vac-xin-mrvac.jpg,,,
Vắc xin Abhayrab,"<p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Abhayrab </span><span style=""font-weight: 400;"">có tác dụng tạo miễn dịch chủ động phòng bệnh dại cho cả người lớn và trẻ em, sau khi tiếp xúc hoặc bị con vật nghi bị dại cắn.</span></p>","<ul style=""text-align: justify;"">
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Tiêm bắp (IM): người lớn tiêm ở vùng cơ Delta cánh tay, trẻ em tiêm ở mặt trước bên đùi. Không tiêm vào vùng mông.</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Trong một số trường hợp có thể áp dụng tiêm trong da (ID), tiêm ở cẳng tay hoặc cánh tay.</span></li>
</ul>","<div class=""content_item_list""><p><span style=""font-weight: 400;"">Vắc xin Abhayrab phòng bệnh dại được chỉ định tiêm cho&nbsp;</span><span style=""font-weight: 400;"">trẻ em và người lớn ở mọi lứa tuổi.</span></p>
</div>","<div class=""content_item_list""><p><span style=""font-weight: 400;"">Vắc xin Abhayrab có độ an toàn cao. Tuy nhiên, người được tiêm có thể gặp một số phản ứng nhẹ, kéo dài từ 1- 2 ngày:</span></p>
<ul>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Tại chỗ tiêm: đau, quầng đỏ, sưng, ngứa và nốt cứng</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Toàn thân: sốt, đau đầu, chóng mặt, mệt mỏi.</span></li>
</ul>
<p><b>Lưu ý:</b><span style=""font-weight: 400;""> Khi có phơi nhiễm (bị súc vật liếm, cào, cắn…) phải sơ cứu và rửa sạch vết thương với thật nhiều nước và xà phòng. Sau đó rửa lại thật kỹ bằng nước sạch. Tiếp tục rửa vết thương bằng cồn Iod. Đưa bệnh nhân tới trung tâm tiêm chủng. Tùy vào mức độ của tiếp xúc mà bác sĩ tiêm ngừa có thể chỉ định tiêm thêm globulin miễn dịch.</span></p>
<p><span style=""font-weight: 400;"">Nên tiêm thêm vắc xin uốn ván ở tất cả các trường hợp có phơi nhiễm.</span></p>
</div>",vac-xin-abhayrab,https://vnvc.vn/wp-content/uploads/2021/02/vac-xin-abhayrab-1.jpg,Human Biologicals Institute (Ấn Độ),Dại,345000
Vắc xin Verorab,"<p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Verorab có tác dụng tạo miễn dịch chủ động phòng bệnh dại cho cả người lớn và trẻ em, sau khi tiếp xúc hoặc bị con vật nghi bị dại cắn.</span></p>","<ul style=""text-align: justify;"">
<li style=""font-weight: 400; text-align: justify;"" aria-level=""1""><span style=""font-weight: 400;"">Tiêm bắp: với liều 0.5ml vắc xin đã hoàn nguyên, ở người lớn vào vùng cơ Delta ở cánh tay, trẻ nhỏ tiêm ở mặt trước – bên đùi. Không tiêm ở vùng mông.</span></li>
<li style=""font-weight: 400; text-align: justify;"" aria-level=""1""><span style=""font-weight: 400;"">Tiêm trong da: với liều 0.1ml vắc xin đã hoàn nguyên (bằng 1/5 liều tiêm bắp).</span></li>
</ul>","<div class=""content_item_list""><p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Verorab (Pháp) phòng bệnh dại được chỉ định tiêm cho&nbsp;trẻ em và người lớn ở mọi lứa tuổi.</span></p>
</div>","<div class=""content_item_list""><p><strong><i>Tiêm vắc xin dại về có sốt hay có triệu chứng gì không?</i></strong></p>
<p style=""text-align: justify;""><span style=""font-weight: 400;"">Sau khi tiêm vắc xin phòng vắc xin dại, người tiêm hay gặp những phản ứng nhẹ, không kéo dài và không cần điều trị đặc biệt. Đó là sự đáp ứng miễn dịch của cơ thể, cụ thể như sau:</span></p>
<ul>
<li style=""text-align: justify;""><span style=""font-weight: 400;""> Tại chỗ tiêm: đau, quầng đỏ, sưng, ngứa và nốt cứng.</span></li>
<li style=""text-align: justify;""><span style=""font-weight: 400;""> Toàn thân: sốt, đau đầu, chóng mặt, mệt mỏi.</span></li>
</ul>
<p style=""text-align: justify;""><span style=""font-weight: 400;"">Lưu ý: Khi có phơi nhiễm (bị súc vật liếm, cào, cắn,…) phải sơ cứu và rửa sạch vết thương với thật nhiều nước và xà phòng. Sau đó rửa lại thật kỹ bằng nước sạch. Tiếp tục rửa vết thương bằng cồn Iod. Đưa nạn nhân tới trung tâm tiêm chủng. Tùy vào mức độ của tiếp xúc mà bác sĩ có thể chỉ định tiêm thêm globulin miễn dịch.</span></p>
<p style=""text-align: justify;""><span style=""font-weight: 400;"">Nên tiêm thêm vắc xin uốn ván ở tất cả các trường hợp có phơi nhiễm.</span></p>
</div>",verorab-vac-xin-phong-dai,https://vnvc.vn/wp-content/uploads/2017/04/vac-xin-verorab-1.jpg,Sanofi (Pháp),Dại,370000
Vắc xin Vaxigrip Tetra,"<p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin cúm Tứ giá Vaxigrip Tetra phòng được 4 chủng tuýp virus cúm gồm: 2 chủng cúm A (H1N1, H3N2) và 2 chủng cúm B (Yamagata, Victoria).</span></p>","<p style=""text-align: justify;""><span style=""font-weight: 400;"">Tiêm bắp hoặc tiêm dưới da.</span></p>","<div class=""content_item_list""><p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Vaxigrip Tetra 0.5ml của Pháp phòng cúm mùa, được chỉ định cho trẻ từ 6 tháng tuổi trở lên và người lớn.</span></p>
</div>","<div class=""content_item_list""><p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Vaxigrip là vắc xin có độ an toàn cao. Sau khi tiêm vắc xin cúm, người được tiêm thường gặp những phản ứng nhẹ, không kéo dài và không cần điều trị đặc biệt. Đó là sự đáp ứng miễn dịch của cơ thể. Cụ thể như sau:</span></p>
<ul>
<li style=""font-weight: 400; text-align: justify;"" aria-level=""1"">Tại chỗ tiêm: đau, đỏ, sưng</li>
<li style=""font-weight: 400; text-align: justify;"" aria-level=""1"">Toàn thân: sốt,mệt mỏi, đau đầu</li>
</ul>
</div>",vaxigrip-tetra,https://vnvc.vn/wp-content/uploads/2021/07/vaccine-vaxigrip-tetra.jpg,Sanofi (Pháp),Cúm,356000
Vắc xin Varilrix,"<p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Varilrix (Bỉ) là vắc xin sống giảm độc lực phòng bệnh thủy đậu do virus </span><span style=""font-weight: 400;"">Varicella Zoster cho trẻ </span><span style=""font-weight: 400;"">từ 9 tháng tuổi và người lớn chưa có miễn dịch.</span></p>","<p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Varilrix được chỉ định tiêm dưới da ở vùng cơ delta hoặc vùng má ngoài đùi với liều 0.5ml.</span></p>","<div class=""content_item_list""><p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Varilrix được chỉ định cho trẻ em từ 9 tháng tuổi và người lớn chưa có miễn dịch phòng bệnh thủy đậu</span><span style=""font-weight: 400;"">.&nbsp;</span></p>
</div>","<div class=""content_item_list""><ul>
<li style=""text-align: justify;"" aria-level=""1""><b><i>Sau khi tiêm vắc xin thủy đậu về bé có sốt không?</i></b></li>
</ul>
<p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Varilrix là vắc xin có độ an toàn cao. Tuy nhiên, sau khi tiêm vắc xin phòng thủy đậu, người được tiêm hay gặp những phản ứng nhẹ, không kéo dài và không cần điều trị đặc biệt. Đó là sự đáp ứng miễn dịch của cơ thể. Cụ thể:</span></p>
<ul style=""text-align: justify;"">
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Tại chỗ tiêm: phát ban dạng thủy đậu, đau, đỏ, sưng,..</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Toàn thân: sốt.</span></li>
</ul>
<p style=""text-align: justify;""><b>Lưu ý:</b><span style=""font-weight: 400;""> Cần tránh dùng chế phẩm chứa Salicylate (Aspirin hoặc các chế phẩm bôi, dán giảm đau) trong ít nhất 6 tuần sau khi tiêm.</span></p>
</div>",varilrix-vac-xin-phong-benh-thuy-dau,https://vnvc.vn/wp-content/uploads/2021/01/vac-xin-varilrix.jpg,GSK (Bỉ),Thủy đậu,1085000
Vắc xin Jeev,"<p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin JEEV là loại vắc xin tinh khiết, bất hoạt qua nuôi cấy từ tế bào Vero, giúp cơ thể tạo ra miễn dịch chủ động nhằm dự phòng <a href=""https://vnvc.vn/viem-nao-nhat-ban-nguyen-nhan-trieu-chung-dieu-tri-phong-ngua/"" target=""_blank"" rel=""noopener""><strong>bệnh viêm não Nhật Bản</strong></a>.</span></p>",,"<div class=""content_item_list""><p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin JEEV được chỉ định tiêm chủng cho trẻ em từ tròn 12 tháng tuổi đến người lớn ≤ 49 tuổi.</span></p>
</div>","<div class=""content_item_list""><p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin JEEV có độ an toàn cao. Tuy nhiên, trong một số thử nghiệm lâm sàng có kiểm soát, đánh giá tính an toàn của vắc xin JEEV, các đối tượng được tiêm có thể xuất hiện ít nhất một phản ứng bất lợi. Các phản ứng này thường xảy ra trong khoảng 3 ngày đầu tính từ ngày tiêm, các phản ứng gặp phải thường ở mức độ nhẹ trung bình và sẽ biến mất trong vòng một vài ngày. Không có sự gia tăng các phản ứng bất lợi giữa liều đầu tiên và liều thứ 2. Các phản ứng có thể gặp gồm:</span></p>
<ul style=""text-align: justify;"">
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Phản ứng tại chỗ tiêm: Sưng, đau, xuất hiện quầng đỏ tại vị trí tiêm, nhạy cảm đau,…</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Các phản ứng toàn thân khác: Đau nhức các cơ, sốt, khó chịu, mệt mỏi, trẻ quấy khóc, giảm sự thèm ăn, ban đỏ, …</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Hệ thần kinh trung ương và ngoại vi: Đau đầu, chóng mặt, buồn ngủ, ngủ lơ mơ,…</span></li>
<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Dạ dày, ruột: Nôn mửa, viêm dạ dày, tiêu chảy, táo bón, buồn nôn,…</span></li>
</ul>
<p style=""text-align: justify;""><span style=""font-weight: 400;"">Tuy nhiên, đây là những phản ứng phụ sau tiêm thông thường và sẽ tự hết sau vài ngày mà không cần điều trị.</span></p>
</div>",vac-xin-jeev,https://vnvc.vn/wp-content/uploads/2023/03/vac-xin-jeev.jpg,Biological E. Limited (Ấn Độ),Viêm não Nhật Bản,399000
Vắc xin Gene Hbvax,"<p style=""text-align: justify;""><strong>Vắc xin phòng viêm gan B tái tổ hợp Gene-HBvax</strong> phòng bệnh do virus viêm gan B – loại virus này có thể lây truyền qua đường máu, qua quan hệ tình dục và từ mẹ truyền sang con với khả năng lây nhiễm cao gấp 10 lần so với virus HIV. Một khi nhiễm virus viêm gan B người bệnh phải chấp nhận sống chung với bệnh suốt đời. 25% trong bệnh nhân viêm gan siêu vi B sẽ phát sinh những vấn đề nghiêm trọng về gan, kể cả ung thư gan.</p>","<p style=""text-align: justify;"">Không được tiêm đường tĩnh mạch hoặc trong da, <strong>vắc xin Gene-HBvax</strong> được chỉ định tiêm bắp. Ở người lớn thì tiêm vắc xin vào vùng cơ delta, song ở trẻ sơ sinh và trẻ nhỏ thì nên tiêm vào vùng đùi ngoài thì tốt hơn vì cơ delta còn nhỏ. Ngoại lệ có thể tiêm vắc xin theo đường dưới da cho những bệnh nhân ưa chảy máu. Lắc kỹ lọ vắc xin trước khi tiêm.</p>","<div class=""content_item_list""><p style=""text-align: justify;"">Vắc xin Gene-HBvax được chỉ định phòng <strong><a href=""https://vnvc.vn/nguyen-nhan-dau-hieu-cach-phong-ngua-viem-gan-b/"" target=""_blank"" rel=""noopener"">viêm gan B</a></strong> cho trẻ sơ sinh và người lớn.</p>
</div>","<div class=""content_item_list""><ul>
<li style=""text-align: justify;"" aria-level=""1"">Những phản ứng thường hay gặp nhất là đau, sưng và ban đỏ tại chỗ tiêm giống như bất kỳ loại vắc xin hấp phụ nào khác. Những phản ứng này thường là nhẹ và sẽ hết trong vòng 2 ngày sau khi tiêm.</li>
<li style=""text-align: justify;"" aria-level=""1"">Những phản ứng toàn thân ít gặp như sốt, đau đầu, buồn nôn, chóng mặt và mệt mỏi cũng có thể xảy ra ở một vài người sau khi tiêm, song nguyên nhân để nói là có liên quan đến vắcxin hay không thì vẫn chưa được xác định.</li>
</ul>
</div>",vac-xin-gene-hbvax,https://vnvc.vn/wp-content/uploads/2023/03/vac-xin-Gene-HBvax.jpg,Vabiotech (Việt Nam),"Viêm gan B tiến triển thành viêm gan mạn tính, xơ gan và ung thư gan ở giai đoạn cuối.",220000
Vắc xin Influvac Tetra,"<p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Cúm Tứ giá Influvac Tetra được chỉ định để phòng ngừa bệnh cúm mùa do virus cúm thuộc hai chủng cúm A (H1N1, H3N2) và hai chủng cúm B (Yamagata, Victoria).</span></p>","<p style=""text-align: justify;""><span style=""font-weight: 400;"">Tiêm bắp hoặc tiêm sâu dưới da.</span></p>","<div class=""content_item_list""><p style=""text-align: justify;"">Vắc xin Influvac Tetra 0.5ml được chỉ định cho trẻ từ 6 tháng tuổi trở lên và người lớn.</p>
</div>","<div class=""content_item_list""><p style=""text-align: justify;""><span style=""font-weight: 400;"">Vắc xin Influvac Tetra là vắc xin có độ an toàn cao. Sau khi tiêm vắc xin phòng bệnh cúm hay gặp những phản ứng nhẹ, không kéo dài và không cần điều trị đặc biệt. Đó là sự đáp ứng miễn dịch của cơ thể. Cụ thể như sau:</span></p>
<ul>
<li aria-level=""1"">Tại chỗ tiêm: đau, đỏ, sưng</li>
<li aria-level=""1"">Toàn thân: sốt,mệt mỏi, đau đầu</li>
</ul>
</div>",influvac-tetra,https://vnvc.vn/wp-content/uploads/2021/11/vac-xin-influvac-tetra.jpg,Abbott (Hà Lan),Cúm,356000
